Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Actuary,70%,131,1251,0.104716227,Construction
Acupuncturist,10%,172,687,0.250363901,Data & IT
Acute Care Nurse Practitioner,35%,119,796,0.149497487,Data & IT
Addiction Counselor,15%,800,3204,0.24968789,Leadership & Strategy
Adjunct Instructor,5%,1174,4677,0.251015608,Supply Chain & Logistics
Adjunct Nursing Faculty,5%,1167,4664,0.250214408,Law Enforcement
Adjunct Professor,5%,1173,4687,0.250266695,Construction
Adjunct Teacher,5%,1156,4611,0.250704836,Sales & Marketing
Adjuster,35%,222,1451,0.152997932,Law Enforcement
Admin,90%,253,2014,0.125620655,Sales & Marketing
Administration,60%,108,879,0.122866894,Communication & PR
Administration Manager,55%,111,1059,0.104815864,Leadership & Strategy
Administrative Analyst,30%,291,1691,0.172087522,Sales & Marketing
Administrative Assistant,80%,286,2155,0.132714617,Supply Chain & Logistics
Administrative Associate,75%,281,2139,0.131369799,Data & IT
Administrative Clerk,85%,270,2070,0.130434783,Sales & Marketing
Administrative Coordinator,75%,281,2128,0.132048872,Administrative & Clerical
Administrative Director,60%,120,937,0.128068303,Data & IT
Administrative Law Judge,10%,644,2667,0.241469816,Hospitality
Administrative Manager,50%,288,2547,0.113074205,Construction
Administrative Officer,65%,133,865,0.153757225,Communication & PR
Administrative Secretary,80%,268,2076,0.129094412,Law Enforcement
Administrative Services Manager,35%,294,1879,0.156466205,Hospitality
Administrative Specialist,65%,134,866,0.154734411,Data & IT
Administrator,30%,231,1298,0.177966102,Administrative & Clerical
Admissions Advisor,5%,1226,4718,0.259855871,Hospitality
Admissions Assistant,25%,256,1782,0.14365881,Sales & Marketing
Admissions Coordinator,5%,1188,4603,0.258092548,Data & IT
Admissions Counselor,15%,885,3554,0.249015194,Hospitality
Admissions Officer,10%,945,3930,0.240458015,Communication & PR
Admissions Representative,15%,1082,4543,0.238168611,Hospitality
Admitting Clerk,30%,198,1209,0.163771712,Construction
Advertising Account Executive,30%,281,1882,0.149309245,Medical & Healthcare
Advertising Assistant,10%,1165,4985,0.233701103,Leadership & Strategy
Advertising Coordinator,10%,1171,4994,0.234481378,Medical & Healthcare
Advertising Director,15%,1250,5196,0.240569669,Construction
Advertising Manager,75%,195,1370,0.142335766,Law Enforcement
Advertising Sales,25%,240,1570,0.152866242,Law Enforcement
Advertising Sales Representative,45%,817,2532,0.322669826,Hospitality
Advocate,10%,534,2117,0.252243741,Law Enforcement
Aerial Lineman,10%,388,1594,0.243412798,Communication & PR
Aeronautical Engineer,43%,415,1405,0.295373665,Data & IT
Aerospace Engineer,55%,89,749,0.1188251,Communication & PR
Aerospace Technician,28%,142,1173,0.121057118,Communication & PR
Aesthetic Nurse,35%,108,726,0.148760331,Leadership & Strategy
Aesthetician,5%,452,2006,0.225324028,Law Enforcement
Affiliate Manager,5%,1157,4346,0.266221813,Sales & Marketing
After School Teacher,20%,1,1,1,Sales & Marketing
Agency Nurse,50%,333,1214,0.274299835,Communication & PR
Agent,40%,648,2044,0.31702544,Sales & Marketing
Agile Coach,10%,895,3877,0.230848594,Medical & Healthcare
Agile Project Manager,45%,629,2096,0.30009542,Administrative & Clerical
Agricultural Engineer,43%,449,1471,0.305234534,Administrative & Clerical
Agriculture Teacher,15%,682,2797,0.243832678,Communication & PR
Agronomist,40%,460,1594,0.288582183,Supply Chain & Logistics
Aide,25%,212,1608,0.131840796,Hospitality
Air Marshal,40%,41,325,0.126153846,Communication & PR
Air Traffic Controller,10%,372,1553,0.239536381,Law Enforcement
Aircraft Assembler,35%,64,518,0.123552124,Medical & Healthcare
Aircraft Cleaner,11%,185,826,0.223970944,Supply Chain & Logistics
Aircraft Dispatcher,15%,450,1829,0.246036085,Hospitality
Aircraft Electrician,15%,371,1529,0.24264225,Communication & PR
Aircraft Engineer,35%,93,688,0.135174419,Construction
Aircraft Fueler,40%,394,1326,0.297134238,Medical & Healthcare
Aircraft Inspector,25%,103,999,0.103103103,Medical & Healthcare
Aircraft Maintenance Technician,35%,68,536,0.126865672,Supply Chain & Logistics
Aircraft Mechanic,35%,69,546,0.126373626,Law Enforcement
Aircraft Painter,40%,403,1500,0.268666667,Hospitality
Aircraft Technician,40%,434,1406,0.308677098,Supply Chain & Logistics
Airline Pilot,20%,314,1253,0.250598563,Hospitality
Airport,5%,556,2206,0.252039891,Administrative & Clerical
Airport Attendant,15%,333,1591,0.209302326,Data & IT
Allocation Analyst,74%,155,1102,0.140653358,Communication & PR
Ambassador,10%,782,3079,0.253978564,Medical & Healthcare
Aml Analyst,25%,205,1409,0.145493258,Medical & Healthcare
Analog Design Engineer,65%,134,913,0.146768894,Data & IT
Analyst,55%,162,1144,0.141608392,Supply Chain & Logistics
Analytical Chemist,35%,114,757,0.150594452,Administrative & Clerical
Analytical Scientist,50%,124,912,0.135964912,Hospitality
Analytics Consultant,30%,297,1789,0.166014533,Hospitality
Analytics Manager,30%,297,1788,0.166107383,Communication & PR
Anchor,40%,697,2170,0.321198157,Law Enforcement
Android Developer,75%,147,1393,0.105527638,Medical & Healthcare
Anesthesiologist,30%,106,641,0.165366615,Communication & PR
Anesthesiologist Assistant,40%,382,1277,0.299138606,Administrative & Clerical
Animal Care Technician,5%,292,1453,0.200963524,Construction
Animal Caretaker,5%,267,1393,0.191672649,Sales & Marketing
Animal Control Officer,25%,161,1239,0.129943503,Construction
Animal Keeper,5%,272,1404,0.193732194,Hospitality
Animal Technician,5%,273,1439,0.18971508,Communication & PR
Animal Trainer,10%,310,1313,0.236100533,Construction
Animator,15%,1081,4149,0.26054471,Sales & Marketing
Announcer,30%,147,981,0.149847095,Data & IT
Antenna Engineer,43%,419,1393,0.300789663,Leadership & Strategy
Apartment Leasing Agent,25%,240,1595,0.150470219,Law Enforcement
Apartment Property Manager,25%,233,1537,0.151594014,Construction
Apparel Designer,5%,823,3763,0.218708477,Construction
Application Developer,70%,151,1045,0.144497608,Construction
Applications Engineer,55%,177,1302,0.1359447,Medical & Healthcare
Appointment Scheduler,70%,165,1212,0.136138614,Supply Chain & Logistics
Appointment Setter,60%,116,1026,0.113060429,Construction
Appraiser,35%,177,1268,0.139589905,Administrative & Clerical
Aquatics Director,10%,545,2319,0.235015093,Administrative & Clerical
Arabic Linguist,70%,113,859,0.131548312,Sales & Marketing
Arborist,30%,92,633,0.145339652,Law Enforcement
Archaeologist,15%,698,2793,0.249910491,Administrative & Clerical
Architect,10%,988,3931,0.251335538,Data & IT
Architectural Drafter,35%,137,1204,0.113787375,Data & IT
Architectural Draftsman,50%,137,932,0.146995708,Law Enforcement
Architectural Engineer,15%,736,3015,0.244112769,Law Enforcement
Architectural Project Manager,40%,795,2482,0.320306205,Administrative & Clerical
Archivist,30%,153,1021,0.149853085,Leadership & Strategy
Area Supervisor,25%,217,1508,0.143899204,Construction
Armed Guard,40%,223,1030,0.216504854,Leadership & Strategy
Armed Security,40%,233,1050,0.221904762,Medical & Healthcare
Armed Security Officer,50%,75,569,0.131810193,Communication & PR
Armored Truck Driver,65%,28,227,0.123348018,Administrative & Clerical
Armorer,30%,79,570,0.138596491,Construction
Art Director,40%,686,2666,0.257314329,Communication & PR
Art Handler,10%,694,3025,0.229421488,Administrative & Clerical
Art Model,5%,704,2814,0.250177683,Supply Chain & Logistics
Art Professor,10%,1027,4408,0.232985481,Data & IT
Art Therapist,10%,500,2315,0.215982721,Communication & PR
Artist,10%,970,4370,0.221967963,Leadership & Strategy
Artistic Director,10%,1125,5016,0.224282297,Sales & Marketing
Arts Manager,30%,225,1848,0.121753247,Medical & Healthcare
Asic Design Engineer,35%,98,699,0.140200286,Sales & Marketing
Asp.Net Developer,65%,245,1752,0.139840183,Hospitality
Assembly Line Worker,60%,39,315,0.123809524,Supply Chain & Logistics
Assembly Operator,65%,59,495,0.119191919,Communication & PR
Assembly Technician,40%,437,1436,0.304317549,Construction
Assembly Worker,60%,37,303,0.122112211,Law Enforcement
Assessor,15%,822,3326,0.247143716,Medical & Healthcare
Asset Management Analyst,15%,885,3693,0.239642567,Supply Chain & Logistics
Asset Manager,30%,224,1354,0.165435746,Data & IT
Asset Protection Manager,50%,183,1823,0.100383982,Data & IT
Assignment Editor,60%,148,1187,0.124684078,Administrative & Clerical
Assistant,82%,240,1600,0.15,Administrative & Clerical
Assistant Account Executive,45%,677,2220,0.304954955,Leadership & Strategy
Assistant Administrator,60%,119,926,0.128509719,Administrative & Clerical
Assistant Art Director,40%,658,2252,0.292184725,Data & IT
Assistant Athletic Director,10%,935,3701,0.252634423,Data & IT
Assistant Basketball Coach,10%,946,3606,0.262340544,Administrative & Clerical
Assistant Bookkeeper,30%,215,1344,0.159970238,Medical & Healthcare
Assistant Branch Manager,67%,130,861,0.150987224,Construction
Assistant Brand Manager,45%,833,2992,0.278409091,Law Enforcement
Assistant Buyer,40%,710,2168,0.327490775,Medical & Healthcare
Assistant Coach,10%,945,3613,0.261555494,Leadership & Strategy
Assistant Community Manager,25%,292,1791,0.163037409,Communication & PR
Assistant Construction Manager,15%,940,3773,0.249138616,Supply Chain & Logistics
Assistant Controller,25%,225,1504,0.149601064,Supply Chain & Logistics
Assistant Cook,30%,99,686,0.144314869,Leadership & Strategy
Assistant Dean,10%,906,3780,0.23968254,Administrative & Clerical
Assistant Designer,35%,226,1888,0.11970339,Communication & PR
Assistant Director,65%,135,989,0.136501517,Administrative & Clerical
Assistant Director Of Nursing,5%,723,2937,0.246169561,Leadership & Strategy
Assistant District Attorney,40%,592,1989,0.297637004,Hospitality
Assistant Engineer,15%,845,3010,0.280730897,Administrative & Clerical
Assistant Facility Manager,25%,231,1547,0.149321267,Sales & Marketing
Assistant Football Coach,10%,933,3585,0.260251046,Medical & Healthcare
Assistant Front Office Manager,25%,213,1552,0.137242268,Data & IT
Assistant General Manager,10%,981,4034,0.243182945,Administrative & Clerical
Assistant Golf Professional,10%,562,2674,0.210172027,Data & IT
Assistant Hotel Manager,30%,222,1383,0.160520607,Hospitality
Assistant Librarian,30%,171,1005,0.170149254,Construction
Assistant Manager,28%,246,1611,0.152700186,Supply Chain & Logistics
Assistant Marketing Manager,45%,841,3003,0.28005328,Construction
Assistant Media Planner,50%,206,1797,0.114635504,Hospitality
Assistant Nurse Manager,45%,476,1541,0.308890331,Leadership & Strategy
Assistant Operations Manager,15%,1134,4936,0.229740681,Communication & PR
Assistant Portfolio Manager,5%,999,3892,0.25668037,Medical & Healthcare
Assistant Principal,15%,815,3341,0.24393894,Data & IT
Assistant Producer,57%,118,924,0.127705628,Administrative & Clerical
Assistant Product Manager,40%,853,2632,0.324088146,Leadership & Strategy
Assistant Professor,10%,933,3946,0.236441967,Administrative & Clerical
Assistant Project Manager,35%,311,1980,0.157070707,Communication & PR
Assistant Property Manager,30%,218,1323,0.164777022,Administrative & Clerical
Assistant Registrar,15%,988,4086,0.241801273,Communication & PR
Assistant Restaurant Manager,35%,142,1006,0.141153082,Construction
Assistant Sales Manager,30%,234,1446,0.161825726,Supply Chain & Logistics
Assistant Soccer Coach,10%,933,3562,0.261931499,Supply Chain & Logistics
Assistant Store Manager,15%,920,3828,0.240334378,Communication & PR
Assistant Superintendent,15%,775,3221,0.240608507,Administrative & Clerical
Assistant Teacher,25%,232,1554,0.149292149,Communication & PR
Assisted Living Administrator,30%,121,663,0.182503771,Data & IT
Associate,79%,175,1298,0.134822804,Communication & PR
Associate Attorney,40%,654,2100,0.311428571,Communication & PR
Associate Brand Manager,45%,834,2991,0.27883651,Sales & Marketing
Associate Buyer,40%,710,2181,0.325538744,Supply Chain & Logistics
Associate Consultant,35%,289,1784,0.161995516,Data & IT
Associate Creative Director,55%,147,1115,0.131838565,Data & IT
Associate Dean,10%,905,3782,0.23929138,Leadership & Strategy
Associate Dentist,15%,674,2621,0.257153758,Hospitality
Associate Editor,45%,717,2474,0.289814066,Medical & Healthcare
Associate Marketing Manager,45%,834,2992,0.278743316,Hospitality
Associate Pastor,10%,679,2966,0.228927849,Sales & Marketing
Associate Product Manager,35%,316,2008,0.157370518,Data & IT
Associate Professor,10%,930,3942,0.235920852,Leadership & Strategy
Associate Project Manager,40%,861,2753,0.312749728,Medical & Healthcare
Associate Scientist,40%,524,1772,0.295711061,Law Enforcement
Associate Software Engineer,65%,245,1753,0.139760411,Communication & PR
Associate Veterinarian,5%,612,2390,0.256066946,Data & IT
Athletic Coordinator,10%,867,3709,0.233755729,Communication & PR
Athletic Director,10%,865,3729,0.231965674,Data & IT
Atm Technician,40%,442,1466,0.301500682,Law Enforcement
Attorney,15%,800,3198,0.250156348,Supply Chain & Logistics
Attorney General,15%,774,3080,0.251298701,Law Enforcement
Au Pair,5%,658,2752,0.239098837,Sales & Marketing
Audio Engineer,30%,189,1368,0.138157895,Construction
Audio Technician,45%,463,2059,0.22486644,Sales & Marketing
Audio Visual Technician,25%,172,1241,0.138597905,Supply Chain & Logistics
Audiologist,10%,315,1312,0.240091463,Administrative & Clerical
Audit Associate,40%,647,2057,0.314535732,Data & IT
Audit Director,30%,222,1371,0.161925602,Supply Chain & Logistics
Auditor,60%,162,1260,0.128571429,Data & IT
Author,10%,1112,4724,0.235393734,Construction
Auto Appraiser,11%,341,1596,0.213659148,Law Enforcement
Auto Body Painter,25%,94,883,0.106455266,Law Enforcement
Auto Body Technician,40%,412,1409,0.292405962,Sales & Marketing
Auto Damage Appraiser,19%,671,2692,0.249257058,Data & IT
Auto Detailer,10%,211,895,0.23575419,Construction
Auto Glass Technician,30%,99,967,0.10237849,Supply Chain & Logistics
Auto Mechanic,35%,70,573,0.122164049,Construction
Auto Sales,55%,147,1318,0.111532625,Communication & PR
Auto Technician,35%,70,573,0.122164049,Sales & Marketing
Autocad Designer,40%,663,2463,0.269183922,Hospitality
Autocad Drafter,65%,162,1598,0.101376721,Data & IT
Autocad Draftsman,45%,539,2297,0.234653896,Administrative & Clerical
Automation Engineer,65%,141,937,0.150480256,Administrative & Clerical
Automation Specialist,40%,598,1883,0.317578332,Construction
Automation Technician,40%,557,1796,0.31013363,Law Enforcement
Automation Test Engineer,80%,159,1547,0.102779573,Law Enforcement
Automation Tester,80%,158,1541,0.102530824,Construction
Automotive Consultant,30%,228,1388,0.16426513,Law Enforcement
Automotive Detailer,18%,392,1373,0.285506191,Administrative & Clerical
Automotive Engineer,28%,193,1544,0.125,Data & IT
Automotive Instructor,30%,112,761,0.14717477,Medical & Healthcare
Automotive Mechanic,35%,70,573,0.122164049,Hospitality
Automotive Sales Manager,30%,227,1439,0.157748436,Law Enforcement
Automotive Service Advisor,18%,494,2081,0.237385872,Leadership & Strategy
Automotive Service Manager,25%,133,1044,0.127394636,Construction
Automotive Service Technician,48%,166,722,0.229916898,Construction
Automotive Technician,35%,70,573,0.122164049,Communication & PR
Autopsy Assistant,60%,37,347,0.106628242,Sales & Marketing
Aviation Maintenance Technician,35%,68,536,0.126865672,Data & IT
Aviation Mechanic,35%,67,527,0.127134725,Administrative & Clerical
Aviation Technician,40%,434,1419,0.30584919,Sales & Marketing
Avionics Engineer,42%,431,1418,0.303949224,Medical & Healthcare
Avionics Technician,55%,73,638,0.114420063,Hospitality
Babysitter,10%,305,1208,0.252483444,Supply Chain & Logistics
Backend Developer,75%,144,1012,0.14229249,Data & IT
Background Investigator,30%,166,1121,0.14808207,Construction
Baggage Handler,15%,281,1102,0.254990926,Medical & Healthcare
Bailiff,5%,659,2848,0.231390449,Sales & Marketing
Baker,20%,316,1344,0.235119048,Leadership & Strategy
Bakery Assistant,15%,366,1362,0.268722467,Construction
Bakery Clerk,25%,138,1207,0.114333057,Leadership & Strategy
Bakery Manager,84%,97,804,0.120646766,Hospitality
Band Director,45%,292,1241,0.235294118,Communication & PR
Bank Examiner,15%,817,3332,0.245198079,Law Enforcement
Bank Teller,70%,113,824,0.137135922,Administrative & Clerical
Banker,10%,994,4020,0.247263682,Hospitality
Banking Analyst,25%,218,1530,0.14248366,Law Enforcement
Banking Consultant,15%,911,3899,0.233649654,Construction
Bankruptcy Paralegal,30%,209,1341,0.15585384,Sales & Marketing
Bankruptcy Specialist,30%,216,1351,0.159881569,Law Enforcement
Banquet Captain,35%,101,793,0.127364439,Sales & Marketing
Banquet Chef,25%,131,1071,0.122315593,Sales & Marketing
Banquet Manager,83%,99,802,0.123441397,Communication & PR
Bar Manager,40%,564,1815,0.310743802,Medical & Healthcare
Bar Server,20%,425,1725,0.246376812,Medical & Healthcare
Barback,15%,308,1246,0.247191011,Sales & Marketing
Barber,15%,310,1258,0.246422893,Hospitality
Barista,14%,329,1429,0.230230931,Hospitality
Bartender,14%,343,1462,0.234610123,Communication & PR
Baseball Coach,5%,954,3636,0.262376238,Construction
Basketball Coach,5%,952,3634,0.261970281,Sales & Marketing
Basketball Referee,5%,828,2960,0.27972973,Hospitality
Beach Attendant,10%,448,1577,0.284083703,Construction
Beautician,5%,887,3574,0.248181309,Sales & Marketing
Beauty Advisor,5%,943,4205,0.224256837,Hospitality
Beauty Consultant,5%,952,4217,0.225752905,Communication & PR
Behavior Analyst,15%,811,3056,0.265379581,Medical & Healthcare
Behavior Interventionist,10%,489,2323,0.210503659,Data & IT
Behavior Technician,15%,739,2905,0.254388985,Communication & PR
Behavioral Technician,40%,134,948,0.141350211,Construction
Behavioral Therapist,15%,786,2995,0.262437396,Supply Chain & Logistics
Bellhop,10%,447,1642,0.272228989,Sales & Marketing
Bellman,10%,447,1642,0.272228989,Hospitality
Bench Jeweler,25%,95,766,0.124020888,Medical & Healthcare
Bench Technician,30%,107,966,0.110766046,Law Enforcement
Benefits Administrator,30%,238,1372,0.173469388,Hospitality
Benefits Analyst,30%,249,1443,0.172557173,Supply Chain & Logistics
Benefits Consultant,30%,234,1391,0.168224299,Construction
Benefits Manager,10%,932,3718,0.250672405,Law Enforcement
Benefits Specialist,25%,217,1444,0.150277008,Data & IT
Beverage Manager,25%,166,1278,0.129890454,Hospitality
Beverage Server,20%,440,1748,0.251716247,Supply Chain & Logistics
Bi Analyst,40%,815,2531,0.322007112,Leadership & Strategy
Bi Developer,40%,822,2530,0.324901186,Communication & PR
Bid Manager,15%,1060,4503,0.235398623,Data & IT
Bike Mechanic,18%,327,1249,0.261809448,Medical & Healthcare
Bilingual,15%,848,3512,0.241457859,Leadership & Strategy
Bilingual Customer Service,15%,1275,4798,0.265735723,Hospitality
Bilingual Teacher,15%,828,3274,0.252901649,Leadership & Strategy
Billing Analyst,40%,716,2273,0.3150022,Administrative & Clerical
Billing Assistant,30%,215,1335,0.161048689,Construction
Billing Clerk,45%,621,2136,0.290730337,Hospitality
Billing Coordinator,45%,620,2134,0.290534208,Communication & PR
Billing Manager,55%,175,1434,0.122036262,Sales & Marketing
Billing Representative,45%,619,2142,0.28898226,Data & IT
Billing Specialist,45%,620,2135,0.290398126,Administrative & Clerical
Billing Supervisor,45%,606,2100,0.288571429,Leadership & Strategy
Bindery Operator,30%,115,771,0.149156939,Medical & Healthcare
Biochemist,50%,113,828,0.13647343,Communication & PR
Bioinformatician,30%,201,1226,0.163947798,Leadership & Strategy
Bioinformatics,30%,201,1237,0.162489895,Medical & Healthcare
Biological Scientist,40%,475,1721,0.276002324,Construction
Biological Technician,40%,466,1628,0.286240786,Sales & Marketing
Biology Instructor,10%,716,2975,0.240672269,Medical & Healthcare
Biology Tutor,30%,117,778,0.150385604,Supply Chain & Logistics
Biomedical Engineer,60%,102,732,0.139344262,Law Enforcement
Biomedical Equipment Technician,30%,132,748,0.176470588,Administrative & Clerical
Biomedical Technician,45%,514,2125,0.241882353,Data & IT
Biostatistician,40%,567,1874,0.302561366,Hospitality
Biotechnology,60%,97,694,0.139769452,Construction
Bishop,5%,543,2300,0.236086957,Communication & PR
Biztalk Developer,60%,138,1072,0.128731343,Medical & Healthcare
Blackjack Dealer,50%,53,368,0.144021739,Hospitality
Blog Writer,35%,327,2442,0.133906634,Law Enforcement
Blogger,35%,328,2417,0.13570542,Construction
Board Operator,20%,786,3443,0.228289283,Communication & PR
Boat Captain,20%,303,1157,0.261884183,Communication & PR
Body Shop Manager,5%,562,2519,0.223104407,Medical & Healthcare
Bodyguard,40%,229,1115,0.205381166,Supply Chain & Logistics
Boiler Operator,15%,676,2196,0.307832423,Leadership & Strategy
Boilermaker,25%,59,495,0.119191919,Construction
Book Reviewer,45%,602,2164,0.27818854,Medical & Healthcare
Booking Agent,10%,1008,4303,0.234255171,Supply Chain & Logistics
Bookkeeper,65%,141,911,0.154774973,Supply Chain & Logistics
Bookkeeping,65%,139,914,0.152078775,Law Enforcement
Bookseller,55%,81,661,0.122541604,Administrative & Clerical
Bookstore,30%,210,1355,0.15498155,Medical & Healthcare
Bookstore Manager,15%,888,3743,0.237242853,Data & IT
Border Patrol Agent,5%,504,2077,0.242657679,Construction
Bouncer,50%,25,238,0.105042017,Data & IT
Box Office Manager,25%,179,1350,0.132592593,Communication & PR
Box Truck Driver,40%,331,1162,0.284853701,Communication & PR
Branch Manager,10%,945,3786,0.249603803,Communication & PR
Branch Office Administrator,65%,130,828,0.157004831,Administrative & Clerical
Brand Ambassador,10%,1202,5091,0.236102927,Supply Chain & Logistics
Brand Consultant,30%,281,1832,0.153384279,Construction
Brand Director,30%,264,1671,0.157989228,Law Enforcement
Brand Manager,45%,862,2975,0.289747899,Communication & PR
Brand Marketing Manager,45%,862,2976,0.289650538,Data & IT
Brand Representative,10%,1194,5005,0.238561439,Law Enforcement
Brand Specialist,30%,280,1839,0.152256661,Sales & Marketing
Brand Strategist,30%,283,1841,0.153720804,Hospitality
Breakfast Attendant,13%,271,1062,0.255178908,Data & IT
Brewer,35%,55,508,0.108267717,Hospitality
Brick Mason,10%,229,1056,0.216856061,Administrative & Clerical
Bricklayer,85%,3,30,0.1,Construction
Bridal Consultant,10%,712,3158,0.225459151,Supply Chain & Logistics
Bridge Engineer,28%,183,1517,0.120632828,Administrative & Clerical
Bridge Inspector,15%,787,2764,0.284732272,Medical & Healthcare
Broadband Technician,48%,391,1695,0.230678466,Sales & Marketing
Broadcast Engineer,30%,186,1368,0.135964912,Sales & Marketing
Broadcast Journalist,40%,756,2331,0.324324324,Construction
Broadcast Producer,50%,179,1516,0.118073879,Communication & PR
Broadcast Technician,45%,625,2565,0.243664717,Supply Chain & Logistics
Broker,30%,198,1271,0.155782848,Leadership & Strategy
Broker Assistant,35%,207,1467,0.141104294,Leadership & Strategy
Budget Analyst,60%,165,1165,0.141630901,Administrative & Clerical
Budget Manager,40%,676,2240,0.301785714,Leadership & Strategy
Budget Officer,40%,669,2235,0.299328859,Medical & Healthcare
Budtender,25%,122,980,0.124489796,Communication & PR
Build Engineer,28%,189,1523,0.124097177,Leadership & Strategy
Builder,10%,267,1206,0.221393035,Leadership & Strategy
Building Engineer,15%,1009,4044,0.24950544,Supply Chain & Logistics
Building Inspector,10%,353,1510,0.233774834,Medical & Healthcare
Building Maintenance,30%,131,890,0.147191011,Communication & PR
Building Manager,30%,158,984,0.160569106,Data & IT
Building Official,15%,908,3641,0.249382038,Law Enforcement
Building Superintendent,10%,850,3426,0.248102744,Communication & PR
Bursar,50%,146,1045,0.139712919,Supply Chain & Logistics
Bus Aide,15%,256,995,0.257286432,Administrative & Clerical
Bus Driver,45%,80,426,0.187793427,Administrative & Clerical
Bus Monitor,10%,439,1774,0.24746336,Construction
Bus Operator,45%,80,426,0.187793427,Leadership & Strategy
Busboy,10%,411,1533,0.268101761,Communication & PR
Business Administrator,35%,238,1432,0.166201117,Data & IT
Business Advisor,15%,1242,5280,0.235227273,Leadership & Strategy
Business Analyst,50%,218,1726,0.126303592,Administrative & Clerical
Business Analyst Manager,30%,289,1671,0.172950329,Data & IT
Business Architect,30%,255,1459,0.174777245,Administrative & Clerical
Business Assistant,15%,1127,4627,0.243570348,Law Enforcement
Business Associate,50%,229,2087,0.109726881,Medical & Healthcare
Business Banker,25%,209,1452,0.143939394,Construction
Business Banking Relationship Manager,65%,166,1126,0.147424512,Hospitality
Business Consultant,40%,997,2969,0.335803301,Sales & Marketing
Business Continuity Manager,35%,306,1947,0.157164869,Sales & Marketing
Business Controller,55%,126,1017,0.123893805,Communication & PR
Business Coordinator,40%,939,2880,0.326041667,Hospitality
Business Data Analyst,50%,207,1500,0.138,Sales & Marketing
Business Developer,40%,984,2898,0.339544513,Data & IT
Business Development Analyst,35%,338,2185,0.154691076,Leadership & Strategy
Business Development Associate,35%,340,2190,0.155251142,Medical & Healthcare
Business Development Consultant,35%,346,2218,0.155996393,Sales & Marketing
Business Development Coordinator,30%,300,1867,0.160685592,Leadership & Strategy
Business Development Director,35%,348,2223,0.156545209,Hospitality
Business Development Executive,30%,323,1961,0.164711882,Medical & Healthcare
